Dataset;aus.mat;bcw.mat;bid.mat;bre.mat;car.mat;cmc.mat;ech.mat;fac.mat;ger.mat;he.mat;;;;;
;26,08695652;4,47761194;42,85714286;5,263157895;0;31,97278912;16,66666667;13,7254902;29;26,66666667;;;;;
;11,5942029;5,970149254;25,71428571;10,52631579;0;33,33333333;0;11,76470588;27;20;;;;;
;17,39130435;10,44776119;34,28571429;1,754385965;3,468208092;39,45578231;0;11,76470588;38;20;;;;;
;17,39130435;8,955223881;40;10,52631579;0,578034682;34,69387755;0;11,76470588;29;23,33333333;;;;;
;15,94202899;5,970149254;31,42857143;5,263157895;1,156069364;36,05442177;0;11,76470588;27;36,66666667;;;;;
;20,28985507;2,985074627;42,85714286;3,50877193;0;27,89115646;0;17,64705882;27;26,66666667;;;;;
;20,28985507;4,47761194;28,57142857;8,771929825;1,156069364;34,01360544;0;13,7254902;38;36,66666667;;;;;
;13,04347826;1,492537313;40;8,771929825;0,578034682;30,6122449;0;7,843137255;23;23,33333333;;;;;
;23,1884058;5,970149254;25,71428571;7,01754386;1,734104046;33,33333333;0;13,7254902;31;40;;;;;
;13,04347826;4,761904762;36,66666667;3,571428571;0;39,33333333;0;4,347826087;28;22,22222222;;;;;
Average;17,82608696;5,550817342;34,80952381;6,497493734;0,867052023;34,06938776;1,666666667;11,80733163;29,7;27,55555556;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Dataset;aus.mat;bcw.mat;bid.mat;bre.mat;car.mat;;;;;Dataset;cmc.mat;ech.mat;fac.mat;ger.mat;he.mat
;26,08695652;4,47761194;42,85714286;5,263157895;0;;;;;;31,97278912;16,66666667;13,7254902;29;26,66666667
;11,5942029;5,970149254;25,71428571;10,52631579;0;;;;;;33,33333333;0;11,76470588;27;20
;17,39130435;10,44776119;34,28571429;1,754385965;3,468208092;;;;;;39,45578231;0;11,76470588;38;20
;17,39130435;8,955223881;40;10,52631579;0,578034682;;;;;;34,69387755;0;11,76470588;29;23,33333333
;15,94202899;5,970149254;31,42857143;5,263157895;1,156069364;;;;;;36,05442177;0;11,76470588;27;36,66666667
;20,28985507;2,985074627;42,85714286;3,50877193;0;;;;;;27,89115646;0;17,64705882;27;26,66666667
;20,28985507;4,47761194;28,57142857;8,771929825;1,156069364;;;;;;34,01360544;0;13,7254902;38;36,66666667
;13,04347826;1,492537313;40;8,771929825;0,578034682;;;;;;30,6122449;0;7,843137255;23;23,33333333
;23,1884058;5,970149254;25,71428571;7,01754386;1,734104046;;;;;;33,33333333;0;13,7254902;31;40
;13,04347826;4,761904762;36,66666667;3,571428571;0;;;;;;39,33333333;0;4,347826087;28;22,22222222
Average;17,82608696;5,550817342;34,80952381;6,497493734;0,867052023;;;;;Average;34,06938776;1,666666667;11,80733163;29,7;27,55555556
